Year to Grad,Term Desc,Class,Person Name,Grade,Cwid,Units Earned,Major at Entry,Major (Latest),Academic Standing,Units Attempting,Email,Enrollment Status Code,Graduated,Not Graduated Not Enrolled,Expected Grad Term,First Generation,Units Needed,Cohort Type,underrepresented,EOP,Parent level edu,GPA,Enrolled Not Graduated,Admit Type,Program Status,Program Action,Academic Career
0,Spring 2023,CPSC~483~01,-,F,-,121,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,4,-,E,0%     (0),100%     (1),Spring 2023,No,NA,Not Graduated Not Enrolled,Yes,No,Parent Graduated College,2.44,0%     (0),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,-,B,-,129,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,3,-,E,0%     (0),0%     (0),Not Applicable,No,NA,Enrolled Not Graduated,Yes,No,Parent Attended Some College,3.06,100%     (1),Unknown,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,-,C,-,134,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,6,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,Yes,No,Parent Attended Some College,3.29,0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,A,-,116,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,9,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,No,No,Parent Graduated College,3.85,0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,B,-,201.66,Comm/Public Relations  2MJ 1BA,Political Science      1MJ 1BA,Good Standing,15,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,Yes,No,Parent Graduated College,3.56,0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,B,-,136,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,-,E,100%     (1),0%     (0),Spring 2023,Yes,0,Graduated,Yes,No,Student is First Generation College,3.7,0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,B,-,153,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,Yes,No,Parent Graduated College,2.9,0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,D,-,119,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,13,-,E,0%     (0),0%     (0),Fall 2023,No,NA,Enrolled Not Graduated,No,No,Parent Attended Some College,2.66,100%     (1),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,-,B,-,167,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,No,No,Parent Graduated College,3.41,0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,-,C,-,122,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,14,-,E,100%     (1),0%     (0),Spring 2023,No,0,Graduated,Yes,No,Parent Attended Some College,3.28,0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
